Date,Open,High,Low,Raw_Close,Adj_Close,Volume,Return,LogReturn,Volatility,RSI_14,Ticker,volume_today,value_today,volume_ratio_3m,volume_change_pct,price_change_pct,intraday_range_pct,gap_open_pct,candle_type,ma5,ma20,ma60,ma5_cross_ma20,price_above_ma60,ma_alignment_score,atr_14,bollinger_band_width,volatility_spike,rsi_14,macd,macd_signal_diff,stochastic_k
2015-01-22,11.670000076293944,11.81666660308838,11.609999656677246,11.75,9.93462085723877,17028600.0,0.0158499508857867,0.0157256521135822,0.2066669464111346,45.45465265558414,CSX,17028600.0,169172684.7295761,,,,2.080270091641682,,음봉,,,,False,False,0,,,False,,0.0,0.0,
2015-01-23,11.673333168029783,11.6899995803833,11.473333358764648,11.489999771118164,9.714792251586914,17928600.0,-0.0221275284493297,-0.0223760146372258,0.2166662216186523,40.65052914698692,CSX,17928600.0,174172624.36180115,,5.2852260314999455,-2.2127528449329747,2.2302712812336245,17.501546720065488,음봉,,,,False,False,0,,,False,,-0.004932052049882785,-0.0021920231332812376,
2015-01-26,11.483332633972168,11.666666984558104,11.460000038146973,11.653332710266112,9.85288906097412,14484600.0,0.0142151067990823,0.0141150195538688,0.206666946411131,50.57966295198508,CSX,14484600.0,142715156.89258572,,-19.20953114018942,1.4215106799082333,2.097526371525984,18.20461350675165,음봉,,,,False,False,0,,,False,,-0.0020020394631270477,0.00043553475942757335,
2015-01-27,11.526666641235352,11.579999923706056,11.376667022705078,11.4399995803833,9.672517776489258,17757300.0,-0.0183064361497061,-0.0184760724319799,0.2033329010009783,56.74803806832468,CSX,17757300.0,171757799.9124527,,22.594341576570987,-1.8306436149706173,2.102171385977852,16.987683205434895,음봉,,,,False,False,0,,,False,,-0.007132583921853453,-0.0031045592591569518,
2015-01-28,11.550000190734863,11.583333015441896,11.206666946411133,11.233332633972168,9.49778175354004,26461200.0,-0.0180652056669198,-0.0182303737151177,0.3766660690307635,48.18323382294693,CSX,26461200.0,251322702.53677374,,49.01589768714838,-1.8065205666919826,3.965832010094056,19.410482954181322,음봉,9.73452033996582,,,False,False,0,,,False,,-0.01672343468925952,-0.008918812565067595,
2015-01-29,11.233332633972168,11.286666870117188,11.113332748413086,11.25333309173584,9.514690399169922,22358700.0,0.0017802731278362,0.0017786903199065,0.1733341217041015,43.93159911337752,CSX,22358700.0,212736108.22792053,,-15.503832025758468,0.17802731278362405,1.8217526207602461,18.273223426988597,음봉,9.65053424835205,,,False,False,0,,,False,,-0.021451468111630234,-0.009947791974883472,
2015-01-30,11.17666721343994,11.289999961853027,11.083333015441896,11.100000381469728,9.385048866271973,23018700.0,-0.0136254073920534,-0.0137190851604666,0.206666946411131,41.18591585957071,CSX,23018700.0,216031624.33805466,,2.9518710837392215,-1.3625407392053424,2.2020870573604743,17.46748180492569,음봉,9.584585571289063,,,False,False,0,,,False,,-0.0299870878373234,-0.013805753291715267,
2015-02-02,11.15666675567627,11.233332633972168,11.06999969482422,11.226667404174805,9.492146492004396,18465000.0,0.0114115149807383,0.0113468947885119,0.1633329391479474,48.12396187368108,CSX,18465000.0,175272484.97486117,,-19.782611528887383,1.1411514980738335,1.720716586975655,18.877023600496578,음봉,9.512437057495116,,,False,False,0,,,False,,-0.030134787799122265,-0.010600176041948094,
2015-02-03,11.286666870117188,11.56999969482422,11.270000457763672,11.553333282470703,9.76834201812744,18353100.0,0.0290972675522542,0.028681978674433,0.2999992370605486,58.22229752999957,CSX,18353100.0,179279357.89289472,,-0.6060113728675875,2.909726755225428,3.0711377274037908,18.90531693357646,음봉,9.531601905822754,,,False,False,0,,,False,,-0.01607548817984572,0.002660048870165018,
2015-02-04,11.5,11.59333324432373,11.4399995803833,11.523332595825195,9.74297332763672,17049900.0,-0.0025970313532881,-0.0026004094892306,0.1533336639404297,56.8249150152097,CSX,17049900.0,166116720.93887332,,-7.100707782336501,-0.25970313532881484,1.5737871672653205,17.727245613012574,음봉,9.58064022064209,,,False,False,0,,,False,,-0.007175042738495563,0.008970272499961972,
2015-02-05,11.536666870117188,11.74666690826416,11.536666870117188,11.733332633972168,9.920528411865234,15269400.0,0.0182239115573543,0.0180598463562493,0.2100000381469726,57.8870279159007,CSX,15269400.0,151480516.532135,,-10.442876497809372,1.8223911557354366,2.116823110912183,18.41012473463837,음봉,9.661807823181153,,,False,False,0,,,False,,0.008816533043866315,0.019500338508556807,
2015-02-06,11.756667137145996,11.896666526794434,11.739999771118164,11.813332557678224,9.988170623779297,20937600.0,0.0068184081639401,0.0067952679457463,0.1566667556762695,54.53126073968332,CSX,20937600.0,209128321.2524414,,37.12130142638217,0.6818408163940193,1.568523021656096,18.50847705939421,음봉,9.782432174682617,,,False,False,0,,,False,,0.02413645964001354,0.027342332465747046,
2015-02-09,11.763333320617676,11.859999656677246,11.733332633972168,11.766667366027832,9.94871425628662,14359500.0,-0.0039503097192534,-0.0039581328018885,0.1266670227050781,56.10939018167144,CSX,14359500.0,142858562.3631477,,-31.41764099037139,-0.39503097192534753,1.2731999275689005,17.77265090578416,음봉,9.873745727539063,,,False,False,0,,,False,,0.03294913411700939,0.028503351338779567,
2015-02-10,11.81666660308838,11.880000114440918,11.720000267028809,11.84333324432373,10.013534545898438,12134700.0,0.006515443899784,0.006494310142715,0.1599998474121093,56.597754402349466,CSX,12134700.0,121511237.65411377,,-15.49357568160451,0.651544389978409,1.5978358758211468,18.77581664003866,음봉,9.922784233093262,,,False,False,0,0.20428568976266057,,False,,0.04287433368170568,0.030389269382321737,-127.79817794405596
2015-02-11,11.796667098999023,12.079999923706056,11.796667098999023,11.979999542236328,10.129082679748535,19672200.0,0.0115391956077512,0.0114731268578493,0.283332824707033,55.60969087661809,CSX,19672200.0,199261340.29254913,,62.11525624860936,1.1539195607751296,2.7972209692148255,17.807224261596623,음봉,10.000006103515625,,,False,False,0,0.2097618239266533,,False,55.60969087661809,0.056669202225613446,0.03502505371407004,-93.16007939100844
2015-02-12,12.013333320617676,12.203332901000977,12.006667137145996,12.1899995803833,10.30663776397705,15580500.0,0.0175292363427448,0.0173773714281968,0.1966657638549804,67.49993655305445,CSX,15580500.0,160582569.68164444,,-20.79940220209229,1.7529236342744836,1.908146656151545,18.60238187843402,음봉,10.077227973937989,,,False,False,0,0.20833321980067673,,False,67.49993655305445,0.07719305031071144,0.04411735191561032,-67.35547204359553
2015-02-13,12.213333129882812,12.31666660308838,11.960000038146973,12.026666641235352,10.168543815612791,22869900.0,-0.0133985448529989,-0.013489115272781,0.356666564941408,59.33342808093254,CSX,22869900.0,232553580.20868298,,46.785404832964275,-1.3398544852998961,3.5075480954685165,18.49968350076194,음봉,10.113302612304688,,,False,False,0,0.2190474782671251,,True,59.33342808093254,0.08334150397427642,0.03998105241065348,-72.30928111075016
